DIMENSIONE,TIME_SINGLE,TIME_MULTI
1,0.000002,0.000655
1,0.000001,0.001700
1,0.000002,0.000616
1,0.000001,0.000616
1,0.000001,0.000610
1,0.000002,0.000680
1,0.000002,0.001768
1,0.000002,0.001474
1,0.000001,0.000566
1,0.000001,0.000412
2,0.000002,0.000533
2,0.000001,0.000526
2,0.000003,0.000608
2,0.000002,0.000487
2,0.000002,0.000790
2,0.000002,0.000689
2,0.000001,0.000408
2,0.000002,0.000866
2,0.000002,0.000556
2,0.000002,0.000571
4,0.000001,0.000859
4,0.000001,0.000685
4,0.000001,0.000692
4,0.000001,0.001290
4,0.000002,0.000826
4,0.000002,0.000656
4,0.000002,0.000654
4,0.000002,0.000419
4,0.000002,0.000558
4,0.000001,0.000528
8,0.000002,0.001670
8,0.000002,0.000629
8,0.000002,0.000815
8,0.000002,0.000388
8,0.000001,0.000858
8,0.000001,0.000507
8,0.000002,0.000499
8,0.000002,0.000544
8,0.000002,0.000631
8,0.000002,0.000503
16,0.000001,0.000530
16,0.000001,0.000486
16,0.000002,0.000683
16,0.000001,0.000779
16,0.000002,0.000667
16,0.000002,0.001172
16,0.000002,0.001541
16,0.000001,0.000450
16,0.000002,0.000423
16,0.000002,0.000391
32,0.000002,0.000498
32,0.000002,0.000888
32,0.000001,0.000583
32,0.000002,0.000490
32,0.000001,0.000467
32,0.000001,0.000545
32,0.000002,0.000426
32,0.000002,0.000505
32,0.000001,0.000618
32,0.000001,0.000526
64,0.000002,0.000503
64,0.000001,0.000522
64,0.000001,0.000492
64,0.000001,0.000454
64,0.000002,0.000521
64,0.000001,0.000482
64,0.000001,0.000574
64,0.000001,0.000554
64,0.000002,0.000509
64,0.000001,0.000529
128,0.000001,0.000473
128,0.000001,0.000498
128,0.000001,0.000691
128,0.000002,0.000690
128,0.000002,0.000542
128,0.000002,0.000846
128,0.000002,0.000598
128,0.000001,0.000489
128,0.000001,0.000836
128,0.000001,0.000577
256,0.000001,0.000518
256,0.000002,0.000522
256,0.000001,0.000557
256,0.000002,0.000512
256,0.000001,0.000533
256,0.000001,0.000585
256,0.000001,0.000389
256,0.000002,0.000403
256,0.000001,0.000383
256,0.000001,0.000549
512,0.000003,0.000509
512,0.000003,0.000471
512,0.000003,0.000543
512,0.000003,0.000746
512,0.000003,0.000543
512,0.000003,0.000511
512,0.000003,0.000683
512,0.000003,0.000644
512,0.000003,0.000632
512,0.000003,0.000659
1024,0.000003,0.001180
1024,0.000004,0.000398
1024,0.000004,0.000797
1024,0.000003,0.001025
1024,0.000004,0.000450
1024,0.000004,0.000418
1024,0.000004,0.000521
1024,0.000003,0.000569
1024,0.000004,0.000775
1024,0.000004,0.000767
2048,0.000008,0.000524
2048,0.000008,0.000777
2048,0.000008,0.000766
2048,0.000008,0.000552
2048,0.000008,0.000430
2048,0.000008,0.000788
2048,0.000008,0.000581
2048,0.000008,0.000544
2048,0.000008,0.000401
2048,0.000008,0.000538
4096,0.000009,0.000706
4096,0.000009,0.000560
4096,0.000009,0.000426
4096,0.000009,0.000840
4096,0.000010,0.000537
4096,0.000009,0.000814
4096,0.000010,0.000678
4096,0.000009,0.000688
4096,0.000009,0.000707
4096,0.000009,0.000831
8192,0.000028,0.000984
8192,0.000029,0.000433
8192,0.000028,0.000427
8192,0.000028,0.000610
8192,0.000028,0.001703
8192,0.000028,0.000834
8192,0.000028,0.000951
8192,0.000073,0.000554
8192,0.000070,0.000627
8192,0.000074,0.000562
16384,0.000105,0.000601
16384,0.000096,0.000599
16384,0.000095,0.000607
16384,0.000096,0.000605
16384,0.000054,0.000608
16384,0.000097,0.000596
16384,0.000114,0.000612
16384,0.000097,0.000603
16384,0.000071,0.000613
16384,0.000096,0.000596
32768,0.000151,0.002217
32768,0.000107,0.000594
32768,0.000107,0.000754
32768,0.000280,0.000774
32768,0.000108,0.000456
32768,0.000107,0.000583
32768,0.000108,0.001787
32768,0.000107,0.000745
32768,0.000107,0.000861
32768,0.000139,0.000754
65536,0.000226,0.000809
65536,0.000214,0.000716
65536,0.000213,0.000753
65536,0.000218,0.000921
65536,0.000213,0.001151
65536,0.000249,0.000989
65536,0.000230,0.000778
65536,0.000214,0.000780
65536,0.000246,0.000794
65536,0.000214,0.000796
131072,0.000445,0.000882
131072,0.000425,0.003726
131072,0.000490,0.001088
131072,0.000426,0.001602
131072,0.000447,0.000938
131072,0.000467,0.000959
131072,0.000466,0.001104
131072,0.000466,0.001252
131072,0.000466,0.001295
131072,0.000465,0.001228
262144,0.000486,0.002709
262144,0.000489,0.001916
262144,0.001847,0.001720
262144,0.000599,0.000973
262144,0.000487,0.001375
262144,0.000528,0.001092
262144,0.001094,0.001860
262144,0.000602,0.000859
262144,0.000486,0.001094
262144,0.000746,0.007382
524288,0.000537,0.001433
524288,0.000536,0.001222
524288,0.001116,0.001323
524288,0.000601,0.002020
524288,0.000488,0.002192
524288,0.000486,0.002236
524288,0.000487,0.002212
524288,0.000489,0.002283
524288,0.000485,0.001827
524288,0.000487,0.004096
1048576,0.003504,0.005319
1048576,0.003513,0.002451
1048576,0.003570,0.004755
1048576,0.003629,0.004845
1048576,0.003514,0.003872
1048576,0.003338,0.003682
1048576,0.003694,0.002681
1048576,0.003572,0.002875
1048576,0.003373,0.002644
1048576,0.003563,0.004195
2097152,0.007013,0.003894
2097152,0.007114,0.004078
2097152,0.007164,0.003667
2097152,0.007049,0.003863
2097152,0.007182,0.004474
2097152,0.007333,0.006452
2097152,0.007134,0.006257
2097152,0.007558,0.005574
2097152,0.007336,0.005193
2097152,0.008860,0.010150
4194304,0.014387,0.007034
4194304,0.014337,0.010300
4194304,0.014295,0.010823
4194304,0.014690,0.016533
4194304,0.014694,0.007086
4194304,0.016063,0.023491
4194304,0.014440,0.008342
4194304,0.015311,0.010995
4194304,0.014387,0.011155
4194304,0.014566,0.012035
8388608,0.028628,0.020397
8388608,0.028958,0.022135
8388608,0.029377,0.023042
8388608,0.028623,0.020328
8388608,0.028431,0.016995
8388608,0.029619,0.016194
8388608,0.028488,0.019967
8388608,0.028683,0.022570
8388608,0.028485,0.020895
8388608,0.028446,0.023257
16777216,0.030261,0.040879
16777216,0.030407,0.041039
16777216,0.030363,0.040987
16777216,0.030375,0.036248
16777216,0.030690,0.039065
16777216,0.030385,0.037607
16777216,0.030379,0.041900
16777216,0.030540,0.043776
16777216,0.030634,0.041259
16777216,0.030195,0.036289
33554432,0.111643,0.102703
33554432,0.112154,0.106928
33554432,0.111558,0.093128
33554432,0.114022,0.093465
33554432,0.115292,0.094218
33554432,0.111624,0.099956
33554432,0.112195,0.096533
33554432,0.111361,0.092188
33554432,0.111740,0.094969
33554432,0.111806,0.096215
67108864,0.221706,0.184155
67108864,0.222678,0.193923
67108864,0.232133,0.193705
67108864,0.224578,0.192818
67108864,0.223599,0.192771
67108864,0.224046,0.202121
67108864,0.223042,0.191785
67108864,0.221830,0.197691
67108864,0.223301,0.188265
67108864,0.223585,0.196176
134217728,0.447225,0.386133
134217728,0.443075,0.413690
134217728,0.448957,0.377314
134217728,0.447967,0.390750
134217728,0.445234,0.397208
134217728,0.448684,0.398808
134217728,0.445636,0.366232
134217728,0.449379,0.382335
134217728,0.447783,0.370647
134217728,0.446158,0.378693
268435456,0.726915,0.513202
268435456,0.727707,1.110433
268435456,0.742114,10.358561
268435456,0.734352,0.620530
268435456,0.754947,0.645838
268435456,0.747536,0.601345
268435456,0.735964,0.613193
268435456,0.733312,0.613742
268435456,0.739227,0.656617
268435456,0.722783,0.574220
536870912,1.224522,1.378866
536870912,1.201606,1.343588
536870912,1.211034,1.382825
536870912,1.207837,1.365555
536870912,1.215304,1.395174
536870912,1.217347,1.413153
536870912,1.227756,1.362145
536870912,1.238433,1.348524
536870912,1.239357,1.432553
536870912,1.212851,1.336249
