'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
10;'0.000002';'0.001435'
10;'0.000002';'0.004224'
10;'0.000001';'0.000553'
10;'0.000002';'0.000516'
10;'0.000002';'0.000840'
10;'0.000001';'0.000425'
10;'0.000001';'0.000352'
10;'0.000002';'0.004830'
10;'0.000001';'0.001777'
10;'0.000002';'0.001080'
20;'0.000002';'0.000780'
20;'0.000002';'0.000655'
20;'0.000001';'0.000372'
20;'0.000001';'0.000728'
20;'0.000001';'0.000556'
20;'0.000001';'0.007570'
20;'0.000001';'0.000613'
20;'0.000001';'0.000551'
20;'0.000002';'0.000684'
20;'0.000002';'0.001218'
30;'0.000001';'0.000694'
30;'0.000001';'0.000879'
30;'0.000002';'0.000497'
30;'0.000002';'0.000369'
30;'0.000001';'0.000543'
30;'0.000001';'0.000578'
30;'0.000001';'0.000619'
30;'0.000002';'0.000656'
30;'0.000001';'0.000493'
30;'0.000002';'0.000469'
40;'0.000002';'0.000699'
40;'0.000002';'0.000569'
40;'0.000002';'0.000480'
40;'0.000001';'0.000637'
40;'0.000001';'0.000538'
40;'0.000001';'0.000474'
40;'0.000002';'0.000713'
40;'0.000001';'0.000576'
40;'0.000001';'0.000365'
40;'0.000001';'0.000797'
50;'0.000001';'0.000781'
50;'0.000002';'0.000560'
50;'0.000002';'0.002433'
50;'0.000002';'0.000597'
50;'0.000001';'0.000409'
50;'0.000001';'0.000641'
50;'0.000001';'0.000892'
50;'0.000001';'0.000566'
50;'0.000001';'0.000431'
50;'0.000001';'0.000440'
60;'0.000001';'0.000763'
60;'0.000002';'0.002271'
60;'0.000001';'0.000700'
60;'0.000002';'0.000697'
60;'0.000001';'0.000477'
60;'0.000002';'0.000872'
60;'0.000001';'0.000489'
60;'0.000001';'0.000478'
60;'0.000002';'0.000518'
60;'0.000002';'0.000470'
70;'0.000002';'0.000483'
70;'0.000001';'0.000484'
70;'0.000002';'0.000481'
70;'0.000001';'0.000512'
70;'0.000002';'0.000483'
70;'0.000002';'0.000432'
70;'0.000001';'0.000472'
70;'0.000001';'0.000471'
70;'0.000002';'0.000787'
70;'0.000002';'0.000494'
80;'0.000002';'0.000551'
80;'0.000002';'0.000508'
80;'0.000002';'0.000482'
80;'0.000002';'0.000480'
80;'0.000001';'0.000483'
80;'0.000001';'0.000533'
80;'0.000002';'0.000508'
80;'0.000002';'0.000396'
80;'0.000002';'0.000464'
80;'0.000001';'0.000778'
90;'0.000002';'0.000434'
90;'0.000001';'0.000484'
90;'0.000001';'0.000760'
90;'0.000002';'0.000447'
90;'0.000002';'0.000968'
90;'0.000002';'0.000466'
90;'0.000001';'0.000660'
90;'0.000002';'0.000763'
90;'0.000001';'0.000448'
90;'0.000001';'0.000453'
100;'0.000001';'0.000479'
100;'0.000001';'0.000623'
100;'0.000002';'0.000407'
100;'0.000002';'0.000604'
100;'0.000002';'0.000541'
100;'0.000002';'0.000444'
100;'0.000001';'0.000722'
100;'0.000001';'0.000520'
100;'0.000001';'0.000408'
100;'0.000002';'0.000427'
110;'0.000002';'0.000580'
110;'0.000002';'0.000570'
110;'0.000002';'0.000743'
110;'0.000002';'0.000573'
110;'0.000001';'0.000454'
110;'0.000002';'0.000452'
110;'0.000002';'0.000906'
110;'0.000002';'0.000393'
110;'0.000002';'0.000401'
110;'0.000002';'0.000844'
120;'0.000002';'0.000379'
120;'0.000001';'0.001999'
120;'0.000002';'0.000393'
120;'0.000002';'0.000539'
120;'0.000002';'0.000463'
120;'0.000002';'0.000370'
120;'0.000001';'0.001394'
120;'0.000002';'0.000754'
120;'0.000002';'0.000538'
120;'0.000002';'0.000746'
130;'0.000002';'0.000873'
130;'0.000002';'0.000565'
130;'0.000001';'0.000756'
130;'0.000001';'0.000858'
130;'0.000001';'0.000524'
130;'0.000002';'0.000599'
130;'0.000002';'0.000544'
130;'0.000001';'0.000544'
130;'0.000002';'0.000527'
130;'0.000002';'0.000526'
140;'0.000002';'0.000480'
140;'0.000002';'0.000492'
140;'0.000002';'0.000697'
140;'0.000001';'0.000479'
140;'0.000002';'0.000487'
140;'0.000002';'0.000528'
140;'0.000002';'0.002112'
140;'0.000002';'0.000733'
140;'0.000002';'0.000679'
140;'0.000002';'0.000524'
150;'0.000002';'0.000821'
150;'0.000002';'0.000711'
150;'0.000002';'0.000498'
150;'0.000002';'0.000503'
150;'0.000002';'0.000490'
150;'0.000001';'0.000494'
150;'0.000002';'0.000669'
150;'0.000002';'0.000494'
150;'0.000002';'0.000488'
150;'0.000002';'0.000553'
160;'0.000002';'0.000535'
160;'0.000002';'0.000705'
160;'0.000002';'0.000636'
160;'0.000002';'0.000626'
160;'0.000002';'0.000530'
160;'0.000002';'0.000526'
160;'0.000002';'0.000638'
160;'0.000002';'0.001008'
160;'0.000002';'0.000746'
160;'0.000002';'0.000691'
170;'0.000002';'0.000914'
170;'0.000002';'0.000630'
170;'0.000002';'0.000786'
170;'0.000002';'0.000422'
170;'0.000002';'0.002237'
170;'0.000002';'0.000565'
170;'0.000002';'0.000565'
170;'0.000002';'0.000597'
170;'0.000002';'0.000855'
170;'0.000002';'0.000544'
180;'0.000002';'0.000471'
180;'0.000002';'0.000605'
180;'0.000002';'0.000626'
180;'0.000002';'0.000544'
180;'0.000002';'0.000620'
180;'0.000002';'0.000618'
180;'0.000002';'0.000559'
180;'0.000002';'0.000865'
180;'0.000002';'0.000787'
180;'0.000002';'0.000544'
190;'0.000001';'0.000467'
190;'0.000002';'0.000707'
190;'0.000002';'0.001078'
190;'0.000002';'0.000575'
190;'0.000001';'0.000515'
190;'0.000002';'0.000506'
190;'0.000001';'0.000572'
190;'0.000002';'0.000551'
190;'0.000001';'0.000471'
190;'0.000001';'0.000498'
200;'0.000002';'0.003930'
200;'0.000002';'0.000666'
200;'0.000002';'0.000765'
200;'0.000002';'0.000779'
200;'0.000002';'0.000600'
200;'0.000002';'0.000798'
200;'0.000003';'0.004357'
200;'0.000002';'0.000758'
200;'0.000002';'0.004213'
200;'0.000002';'0.000578'
210;'0.000002';'0.000488'
210;'0.000002';'0.000782'
210;'0.000002';'0.000584'
210;'0.000002';'0.000565'
210;'0.000002';'0.000591'
210;'0.000003';'0.000717'
210;'0.000002';'0.000513'
210;'0.000002';'0.000535'
210;'0.000002';'0.000603'
210;'0.000003';'0.000594'
220;'0.000002';'0.006297'
220;'0.000003';'0.000684'
220;'0.000002';'0.000446'
220;'0.000002';'0.000449'
220;'0.000002';'0.000805'
220;'0.000002';'0.001098'
220;'0.000002';'0.000781'
220;'0.000002';'0.000836'
220;'0.000003';'0.000663'
220;'0.000002';'0.000744'
230;'0.000001';'0.000541'
230;'0.000002';'0.000843'
230;'0.000002';'0.000765'
230;'0.000001';'0.000627'
230;'0.000002';'0.000899'
230;'0.000002';'0.000595'
230;'0.000002';'0.000806'
230;'0.000002';'0.001029'
230;'0.000002';'0.000776'
230;'0.000001';'0.000556'
240;'0.000001';'0.000625'
240;'0.000002';'0.000718'
240;'0.000002';'0.000512'
240;'0.000002';'0.001330'
240;'0.000001';'0.000752'
240;'0.000002';'0.000619'
240;'0.000002';'0.001104'
240;'0.000001';'0.000597'
240;'0.000002';'0.000634'
240;'0.000002';'0.000585'
250;'0.000001';'0.000674'
250;'0.000002';'0.000661'
250;'0.000001';'0.000715'
250;'0.000002';'0.000489'
250;'0.000002';'0.000531'
250;'0.000001';'0.000483'
250;'0.000001';'0.000791'
250;'0.000002';'0.000632'
250;'0.000001';'0.002209'
250;'0.000001';'0.000849'
260;'0.000003';'0.000841'
260;'0.000002';'0.000653'
260;'0.000002';'0.000971'
260;'0.000002';'0.000734'
260;'0.000002';'0.000964'
260;'0.000002';'0.001066'
260;'0.000002';'0.000828'
260;'0.000003';'0.000882'
260;'0.000003';'0.000605'
260;'0.000002';'0.000884'
270;'0.000002';'0.000702'
270;'0.000002';'0.000700'
270;'0.000002';'0.000751'
270;'0.000002';'0.000712'
